pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_13.xtc,800.0,0.5330502
6.50,pH_6.50pH_6.50_13.xtc,900.0,0.5928701
6.50,pH_6.50pH_6.50_13.xtc,1000.0,0.5095157
6.50,pH_6.50pH_6.50_14.xtc,0.0,0.5095157
6.50,pH_6.50pH_6.50_14.xtc,100.0,0.4692126
6.50,pH_6.50pH_6.50_14.xtc,200.0,0.4954133
6.50,pH_6.50pH_6.50_14.xtc,300.0,0.4911989
6.50,pH_6.50pH_6.50_14.xtc,400.0,0.4886473
6.50,pH_6.50pH_6.50_14.xtc,500.0,0.3766683
6.50,pH_6.50pH_6.50_14.xtc,600.0,0.4590646
6.50,pH_6.50pH_6.50_14.xtc,700.0,0.4063362
6.50,pH_6.50pH_6.50_14.xtc,800.0,0.4327633
6.50,pH_6.50pH_6.50_14.xtc,900.0,0.4268849
6.50,pH_6.50pH_6.50_14.xtc,1000.0,0.5197229
6.50,pH_6.50pH_6.50_15.xtc,0.0,0.5197229
6.50,pH_6.50pH_6.50_15.xtc,100.0,0.4457667
6.50,pH_6.50pH_6.50_15.xtc,200.0,0.3690292
6.50,pH_6.50pH_6.50_15.xtc,300.0,0.3843637
6.50,pH_6.50pH_6.50_15.xtc,400.0,0.5142167
6.50,pH_6.50pH_6.50_15.xtc,500.0,0.4865032
6.50,pH_6.50pH_6.50_15.xtc,600.0,0.4434535
6.50,pH_6.50pH_6.50_15.xtc,700.0,0.4366678
6.50,pH_6.50pH_6.50_15.xtc,800.0,0.4819359
6.50,pH_6.50pH_6.50_15.xtc,900.0,0.4320895
6.50,pH_6.50pH_6.50_15.xtc,1000.0,0.4356862
6.50,pH_6.50pH_6.50_16.xtc,0.0,0.4356862
6.50,pH_6.50pH_6.50_16.xtc,100.0,0.4365927
6.50,pH_6.50pH_6.50_16.xtc,200.0,0.4014684
6.50,pH_6.50pH_6.50_16.xtc,300.0,0.4324825
6.50,pH_6.50pH_6.50_16.xtc,400.0,0.4501462
6.50,pH_6.50pH_6.50_16.xtc,500.0,0.3742531
6.50,pH_6.50pH_6.50_16.xtc,600.0,0.3974919
6.50,pH_6.50pH_6.50_16.xtc,700.0,0.4042069
6.50,pH_6.50pH_6.50_16.xtc,800.0,0.4372997
6.50,pH_6.50pH_6.50_16.xtc,900.0,0.459805
6.50,pH_6.50pH_6.50_16.xtc,1000.0,0.5221349
6.50,pH_6.50pH_6.50_17.xtc,0.0,0.5221349
6.50,pH_6.50pH_6.50_17.xtc,100.0,0.4152255
6.50,pH_6.50pH_6.50_17.xtc,200.0,0.4445338
6.50,pH_6.50pH_6.50_17.xtc,300.0,0.4406291
6.50,pH_6.50pH_6.50_17.xtc,400.0,0.4105479
6.50,pH_6.50pH_6.50_17.xtc,500.0,0.4657747
6.50,pH_6.50pH_6.50_17.xtc,600.0,0.509718
6.50,pH_6.50pH_6.50_17.xtc,700.0,0.4927279
6.50,pH_6.50pH_6.50_17.xtc,800.0,0.4948646
6.50,pH_6.50pH_6.50_17.xtc,900.0,0.4956369
6.50,pH_6.50pH_6.50_17.xtc,1000.0,0.5182595
6.50,pH_6.50pH_6.50_18.xtc,0.0,0.5182595
6.50,pH_6.50pH_6.50_18.xtc,100.0,0.4505912
6.50,pH_6.50pH_6.50_18.xtc,200.0,0.5109833
6.50,pH_6.50pH_6.50_18.xtc,300.0,0.494868
6.50,pH_6.50pH_6.50_18.xtc,400.0,0.5413932
6.50,pH_6.50pH_6.50_18.xtc,500.0,0.4972013
6.50,pH_6.50pH_6.50_18.xtc,600.0,0.5411235
6.50,pH_6.50pH_6.50_18.xtc,700.0,0.5405962
6.50,pH_6.50pH_6.50_18.xtc,800.0,0.4641935
6.50,pH_6.50pH_6.50_18.xtc,900.0,0.5100834
6.50,pH_6.50pH_6.50_18.xtc,1000.0,0.5486925
6.50,pH_6.50pH_6.50_19.xtc,0.0,0.5486925
6.50,pH_6.50pH_6.50_19.xtc,100.0,0.4628187
6.50,pH_6.50pH_6.50_19.xtc,200.0,0.5332327
6.50,pH_6.50pH_6.50_19.xtc,300.0,0.4766119
6.50,pH_6.50pH_6.50_19.xtc,400.0,0.5062436
6.50,pH_6.50pH_6.50_19.xtc,500.0,0.3911335
6.50,pH_6.50pH_6.50_19.xtc,600.0,0.436239
6.50,pH_6.50pH_6.50_19.xtc,700.0,0.4323666
6.50,pH_6.50pH_6.50_19.xtc,800.0,0.3656642
6.50,pH_6.50pH_6.50_19.xtc,900.0,0.3532642
6.50,pH_6.50pH_6.50_19.xtc,1000.0,0.3730548
6.50,pH_6.50pH_6.50_20.xtc,0.0,0.3730548
6.50,pH_6.50pH_6.50_20.xtc,100.0,0.3698035
6.50,pH_6.50pH_6.50_20.xtc,200.0,0.4011919
6.50,pH_6.50pH_6.50_20.xtc,300.0,0.3519931
6.50,pH_6.50pH_6.50_20.xtc,400.0,0.3971512
6.50,pH_6.50pH_6.50_20.xtc,500.0,0.4241442
6.50,pH_6.50pH_6.50_20.xtc,600.0,0.3721948
6.50,pH_6.50pH_6.50_20.xtc,700.0,0.4332001
6.50,pH_6.50pH_6.50_20.xtc,800.0,0.407018
6.50,pH_6.50pH_6.50_20.xtc,900.0,0.4755928
6.50,pH_6.50pH_6.50_20.xtc,1000.0,0.4601246
7.00,pH_7.00pH_7.00_1.xtc,0.0,0.2731472
7.00,pH_7.00pH_7.00_1.xtc,100.0,0.2278563
7.00,pH_7.00pH_7.00_1.xtc,200.0,0.3026437
7.00,pH_7.00pH_7.00_1.xtc,300.0,0.3386694
7.00,pH_7.00pH_7.00_1.xtc,400.0,0.2993084
7.00,pH_7.00pH_7.00_1.xtc,500.0,0.3356436
7.00,pH_7.00pH_7.00_1.xtc,600.0,0.3767865
7.00,pH_7.00pH_7.00_1.xtc,700.0,0.2896317
7.00,pH_7.00pH_7.00_1.xtc,800.0,0.2588836
7.00,pH_7.00pH_7.00_1.xtc,900.0,0.2857677
7.00,pH_7.00pH_7.00_1.xtc,1000.0,0.3582655
7.00,pH_7.00pH_7.00_2.xtc,0.0,0.3582655
7.00,pH_7.00pH_7.00_2.xtc,100.0,0.2587569
7.00,pH_7.00pH_7.00_2.xtc,200.0,0.2384271
7.00,pH_7.00pH_7.00_2.xtc,300.0,0.278273
7.00,pH_7.00pH_7.00_2.xtc,400.0,0.2776769
7.00,pH_7.00pH_7.00_2.xtc,500.0,0.3410767
7.00,pH_7.00pH_7.00_2.xtc,600.0,0.2373746
7.00,pH_7.00pH_7.00_2.xtc,700.0,0.2428917
7.00,pH_7.00pH_7.00_2.xtc,800.0,0.2696936
7.00,pH_7.00pH_7.00_2.xtc,900.0,0.2528161
7.00,pH_7.00pH_7.00_2.xtc,1000.0,0.2223152
7.00,pH_7.00pH_7.00_3.xtc,0.0,0.2223152
7.00,pH_7.00pH_7.00_3.xtc,100.0,0.3021134
7.00,pH_7.00pH_7.00_3.xtc,200.0,0.3221653
7.00,pH_7.00pH_7.00_3.xtc,300.0,0.3047484
7.00,pH_7.00pH_7.00_3.xtc,400.0,0.4091832
7.00,pH_7.00pH_7.00_3.xtc,500.0,0.2752493
7.00,pH_7.00pH_7.00_3.xtc,600.0,0.2660122
7.00,pH_7.00pH_7.00_3.xtc,700.0,0.2597339
7.00,pH_7.00pH_7.00_3.xtc,800.0,0.3003764
7.00,pH_7.00pH_7.00_3.xtc,900.0,0.2910435
7.00,pH_7.00pH_7.00_3.xtc,1000.0,0.261905
7.00,pH_7.00pH_7.00_4.xtc,0.0,0.261905
7.00,pH_7.00pH_7.00_4.xtc,100.0,0.180401
7.00,pH_7.00pH_7.00_4.xtc,200.0,0.2071078
7.00,pH_7.00pH_7.00_4.xtc,300.0,0.2163728
7.00,pH_7.00pH_7.00_4.xtc,400.0,0.2198423
7.00,pH_7.00pH_7.00_4.xtc,500.0,0.1739602
7.00,pH_7.00pH_7.00_4.xtc,600.0,0.1709629
7.00,pH_7.00pH_7.00_4.xtc,700.0,0.1598603
7.00,pH_7.00pH_7.00_4.xtc,800.0,0.1534286
7.00,pH_7.00pH_7.00_4.xtc,900.0,0.1315687
7.00,pH_7.00pH_7.00_4.xtc,1000.0,0.0005002
7.00,pH_7.00pH_7.00_5.xtc,0.0,0.0005002
7.00,pH_7.00pH_7.00_5.xtc,100.0,0.1283761
7.00,pH_7.00pH_7.00_5.xtc,200.0,0.1517242
7.00,pH_7.00pH_7.00_5.xtc,300.0,0.2396274
7.00,pH_7.00pH_7.00_5.xtc,400.0,0.2459708
7.00,pH_7.00pH_7.00_5.xtc,500.0,0.2470802
7.00,pH_7.00pH_7.00_5.xtc,600.0,0.3268043
7.00,pH_7.00pH_7.00_5.xtc,700.0,0.3396785
7.00,pH_7.00pH_7.00_5.xtc,800.0,0.3189236
7.00,pH_7.00pH_7.00_5.xtc,900.0,0.3164826
7.00,pH_7.00pH_7.00_5.xtc,1000.0,0.3113178
7.00,pH_7.00pH_7.00_6.xtc,0.0,0.3113178
7.00,pH_7.00pH_7.00_6.xtc,100.0,0.2861137
7.00,pH_7.00pH_7.00_6.xtc,200.0,0.3015419
7.00,pH_7.00pH_7.00_6.xtc,300.0,0.2754756
7.00,pH_7.00pH_7.00_6.xtc,400.0,0.2763099
7.00,pH_7.00pH_7.00_6.xtc,500.0,0.3719674
7.00,pH_7.00pH_7.00_6.xtc,600.0,0.3680615
7.00,pH_7.00pH_7.00_6.xtc,700.0,0.3090751
7.00,pH_7.00pH_7.00_6.xtc,800.0,0.3267916
7.00,pH_7.00pH_7.00_6.xtc,900.0,0.3769354
7.00,pH_7.00pH_7.00_6.xtc,1000.0,0.3326036
7.00,pH_7.00pH_7.00_7.xtc,0.0,0.3326036
7.00,pH_7.00pH_7.00_7.xtc,100.0,0.3629189
7.00,pH_7.00pH_7.00_7.xtc,200.0,0.3747092
7.00,pH_7.00pH_7.00_7.xtc,300.0,0.3388972
7.00,pH_7.00pH_7.00_7.xtc,400.0,0.398238
7.00,pH_7.00pH_7.00_7.xtc,500.0,0.4092054
7.00,pH_7.00pH_7.00_7.xtc,600.0,0.4412946
7.00,pH_7.00pH_7.00_7.xtc,700.0,0.3613781
7.00,pH_7.00pH_7.00_7.xtc,800.0,0.421436
7.00,pH_7.00pH_7.00_7.xtc,900.0,0.3701555
7.00,pH_7.00pH_7.00_7.xtc,1000.0,0.3997266
7.00,pH_7.00pH_7.00_8.xtc,0.0,0.3997266
7.00,pH_7.00pH_7.00_8.xtc,100.0,0.4219546
7.00,pH_7.00pH_7.00_8.xtc,200.0,0.3907471
7.00,pH_7.00pH_7.00_8.xtc,300.0,0.3493452
7.00,pH_7.00pH_7.00_8.xtc,400.0,0.352359
7.00,pH_7.00pH_7.00_8.xtc,500.0,0.3467272
7.00,pH_7.00pH_7.00_8.xtc,600.0,0.3795268
7.00,pH_7.00pH_7.00_8.xtc,700.0,0.3572527
7.00,pH_7.00pH_7.00_8.xtc,800.0,0.3130818
7.00,pH_7.00pH_7.00_8.xtc,900.0,0.3249971
7.00,pH_7.00pH_7.00_8.xtc,1000.0,0.3124618
7.00,pH_7.00pH_7.00_9.xtc,0.0,0.3124618
7.00,pH_7.00pH_7.00_9.xtc,100.0,0.3004929
7.00,pH_7.00pH_7.00_9.xtc,200.0,0.3034854
7.00,pH_7.00pH_7.00_9.xtc,300.0,0.2840889
7.00,pH_7.00pH_7.00_9.xtc,400.0,0.2899142
7.00,pH_7.00pH_7.00_9.xtc,500.0,0.2754365
7.00,pH_7.00pH_7.00_9.xtc,600.0,0.2495378
7.00,pH_7.00pH_7.00_9.xtc,700.0,0.3813198
7.00,pH_7.00pH_7.00_9.xtc,800.0,0.2630287
7.00,pH_7.00pH_7.00_9.xtc,900.0,0.2676127
7.00,pH_7.00pH_7.00_9.xtc,1000.0,0.2981991
7.00,pH_7.00pH_7.00_10.xtc,0.0,0.2981991
7.00,pH_7.00pH_7.00_10.xtc,100.0,0.2896575
7.00,pH_7.00pH_7.00_10.xtc,200.0,0.2661484
7.00,pH_7.00pH_7.00_10.xtc,300.0,0.2888865
7.00,pH_7.00pH_7.00_10.xtc,400.0,0.3507066
7.00,pH_7.00pH_7.00_10.xtc,500.0,0.3625345
7.00,pH_7.00pH_7.00_10.xtc,600.0,0.3562275
7.00,pH_7.00pH_7.00_10.xtc,700.0,0.3127029
7.00,pH_7.00pH_7.00_10.xtc,800.0,0.4179654
7.00,pH_7.00pH_7.00_10.xtc,900.0,0.3210882
7.00,pH_7.00pH_7.00_10.xtc,1000.0,0.31346
7.00,pH_7.00pH_7.00_11.xtc,0.0,0.31346
7.00,pH_7.00pH_7.00_11.xtc,100.0,0.3385373
7.00,pH_7.00pH_7.00_11.xtc,200.0,0.2980475
7.00,pH_7.00pH_7.00_11.xtc,300.0,0.3222403
7.00,pH_7.00pH_7.00_11.xtc,400.0,0.3198
7.00,pH_7.00pH_7.00_11.xtc,500.0,0.3822704
7.00,pH_7.00pH_7.00_11.xtc,600.0,0.3408749
7.00,pH_7.00pH_7.00_11.xtc,700.0,0.3423905
7.00,pH_7.00pH_7.00_11.xtc,800.0,0.3805526
7.00,pH_7.00pH_7.00_11.xtc,900.0,0.3499381
7.00,pH_7.00pH_7.00_11.xtc,1000.0,0.3592486
7.00,pH_7.00pH_7.00_12.xtc,0.0,0.3592486
7.00,pH_7.00pH_7.00_12.xtc,100.0,0.354164
7.00,pH_7.00pH_7.00_12.xtc,200.0,0.3139405
7.00,pH_7.00pH_7.00_12.xtc,300.0,0.4958984
7.00,pH_7.00pH_7.00_12.xtc,400.0,0.3840114
7.00,pH_7.00pH_7.00_12.xtc,500.0,0.4070749
7.00,pH_7.00pH_7.00_12.xtc,600.0,0.3730378
7.00,pH_7.00pH_7.00_12.xtc,700.0,0.3206374
7.00,pH_7.00pH_7.00_12.xtc,800.0,0.332968
7.00,pH_7.00pH_7.00_12.xtc,900.0,0.3701266
7.00,pH_7.00pH_7.00_12.xtc,1000.0,0.3729618
7.00,pH_7.00pH_7.00_13.xtc,0.0,0.3729618
7.00,pH_7.00pH_7.00_13.xtc,100.0,0.3841548
