pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_13.xtc,400.0,0.3029484
6.50,pH_6.50pH_6.50_13.xtc,500.0,0.3034749
6.50,pH_6.50pH_6.50_13.xtc,600.0,0.2423866
6.50,pH_6.50pH_6.50_13.xtc,700.0,0.2564195
6.50,pH_6.50pH_6.50_13.xtc,800.0,0.2600424
6.50,pH_6.50pH_6.50_13.xtc,900.0,0.2646114
6.50,pH_6.50pH_6.50_13.xtc,1000.0,0.1931275
6.50,pH_6.50pH_6.50_14.xtc,0.0,0.1931275
6.50,pH_6.50pH_6.50_14.xtc,100.0,0.2334167
6.50,pH_6.50pH_6.50_14.xtc,200.0,0.2720216
6.50,pH_6.50pH_6.50_14.xtc,300.0,0.3048249
6.50,pH_6.50pH_6.50_14.xtc,400.0,0.2624781
6.50,pH_6.50pH_6.50_14.xtc,500.0,0.2528434
6.50,pH_6.50pH_6.50_14.xtc,600.0,0.297074
6.50,pH_6.50pH_6.50_14.xtc,700.0,0.2760542
6.50,pH_6.50pH_6.50_14.xtc,800.0,0.3460089
6.50,pH_6.50pH_6.50_14.xtc,900.0,0.2985927
6.50,pH_6.50pH_6.50_14.xtc,1000.0,0.3976558
6.50,pH_6.50pH_6.50_15.xtc,0.0,0.3976558
6.50,pH_6.50pH_6.50_15.xtc,100.0,0.4317045
6.50,pH_6.50pH_6.50_15.xtc,200.0,0.4541995
6.50,pH_6.50pH_6.50_15.xtc,300.0,0.382521
6.50,pH_6.50pH_6.50_15.xtc,400.0,0.4703957
6.50,pH_6.50pH_6.50_15.xtc,500.0,0.3655557
6.50,pH_6.50pH_6.50_15.xtc,600.0,0.4444969
6.50,pH_6.50pH_6.50_15.xtc,700.0,0.3591107
6.50,pH_6.50pH_6.50_15.xtc,800.0,0.3375757
6.50,pH_6.50pH_6.50_15.xtc,900.0,0.3287156
6.50,pH_6.50pH_6.50_15.xtc,1000.0,0.3374707
6.50,pH_6.50pH_6.50_16.xtc,0.0,0.3374707
6.50,pH_6.50pH_6.50_16.xtc,100.0,0.3901861
6.50,pH_6.50pH_6.50_16.xtc,200.0,0.3748508
6.50,pH_6.50pH_6.50_16.xtc,300.0,0.3333418
6.50,pH_6.50pH_6.50_16.xtc,400.0,0.2967476
6.50,pH_6.50pH_6.50_16.xtc,500.0,0.3761008
6.50,pH_6.50pH_6.50_16.xtc,600.0,0.3112622
6.50,pH_6.50pH_6.50_16.xtc,700.0,0.3625332
6.50,pH_6.50pH_6.50_16.xtc,800.0,0.4009771
6.50,pH_6.50pH_6.50_16.xtc,900.0,0.379178
6.50,pH_6.50pH_6.50_16.xtc,1000.0,0.3864419
6.50,pH_6.50pH_6.50_17.xtc,0.0,0.3864419
6.50,pH_6.50pH_6.50_17.xtc,100.0,0.3480235
6.50,pH_6.50pH_6.50_17.xtc,200.0,0.3197683
6.50,pH_6.50pH_6.50_17.xtc,300.0,0.3454145
6.50,pH_6.50pH_6.50_17.xtc,400.0,0.3557786
6.50,pH_6.50pH_6.50_17.xtc,500.0,0.3572402
6.50,pH_6.50pH_6.50_17.xtc,600.0,0.3583605
6.50,pH_6.50pH_6.50_17.xtc,700.0,0.4236043
6.50,pH_6.50pH_6.50_17.xtc,800.0,0.3437926
